,Date,Symbol,Direction,Shares
0,2018-01-02,DIS,BUY,1000
1,2018-01-04,DIS,SELL,1000
2,2018-01-05,DIS,BUY,1000
3,2018-01-08,DIS,SELL,1000
4,2018-01-09,DIS,BUY,1000
5,2018-01-10,DIS,BUY,1000
6,2018-01-11,DIS,SELL,1000
7,2018-01-19,DIS,BUY,1000
8,2018-01-22,DIS,SELL,1000
9,2018-01-23,DIS,SELL,1000
10,2018-01-24,DIS,BUY,1000
11,2018-01-25,DIS,SELL,1000
12,2018-01-26,DIS,BUY,1000
13,2018-01-29,DIS,SELL,1000
14,2018-01-30,DIS,BUY,1000
15,2018-01-31,DIS,SELL,1000
16,2018-02-01,DIS,SELL,1000
17,2018-02-05,DIS,BUY,1000
18,2018-02-06,DIS,SELL,1000
19,2018-02-08,DIS,BUY,1000
20,2018-02-12,DIS,SELL,1000
21,2018-02-13,DIS,BUY,1000
22,2018-02-14,DIS,SELL,1000
23,2018-02-21,DIS,BUY,1000
24,2018-03-01,DIS,SELL,1000
25,2018-03-02,DIS,BUY,1000
26,2018-03-05,DIS,BUY,1000
27,2018-03-12,DIS,SELL,1000
28,2018-03-13,DIS,BUY,1000
29,2018-03-16,DIS,SELL,1000
30,2018-03-19,DIS,BUY,1000
31,2018-03-20,DIS,SELL,1000
32,2018-03-21,DIS,BUY,1000
33,2018-03-22,DIS,BUY,1000
34,2018-03-26,DIS,SELL,1000
35,2018-03-28,DIS,BUY,1000
36,2018-03-29,DIS,SELL,1000
37,2018-04-03,DIS,BUY,1000
38,2018-04-06,DIS,SELL,1000
39,2018-04-09,DIS,BUY,1000
40,2018-04-10,DIS,SELL,1000
41,2018-04-11,DIS,SELL,1000
42,2018-04-12,DIS,BUY,1000
43,2018-04-17,DIS,SELL,1000
44,2018-04-18,DIS,BUY,1000
45,2018-04-19,DIS,SELL,1000
46,2018-04-20,DIS,SELL,1000
47,2018-04-24,DIS,BUY,1000
48,2018-04-25,DIS,SELL,1000
49,2018-04-26,DIS,SELL,1000
50,2018-04-27,DIS,BUY,1000
51,2018-05-01,DIS,SELL,1000
52,2018-05-02,DIS,BUY,1000
53,2018-05-03,DIS,SELL,1000
